"company","quartile","country","economic_sector","sub_industry","pollution","metric","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","wa_10","wa_11","wa_12","wa_13","wa_14","wa_15","wa_16","wa_17","wa_18","wa_19","wa_20"
"ACCENTURE PLC","Medium","Ireland","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",29.46,31.69,37.67,35.17,41.17,44.66,34.18,45.01,41.13,35.58,40.29,0.200796191013304,0.252613103259614,0.316065640542525,0.305241413481401,0.366146524411179,0.390117761761653,0.308887288550654,0.461606617843018,0.446560142143016,0.419648926410628,0.637726496514375
"AIRBUS SE","Huge","Netherlands","Industrials","Aerospace & Defense","polluter","DIVIDEND PAYOUT PER SHARE",32.35,35.43,40.03,40.57,40.1,37.88,NA,40.4,41.88,0,0,1.4147002072633,1.58733029274583,1.85515666818378,1.98779098115801,1.92116918481262,1.94581970622765,NA,2.23279959739904,2.24406491074445,0,0
"AKZO NOBEL N.V.","Large","Netherlands","Basic Materials","Speciality Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",46.51,71.08,NA,48.31,64.97,39.24,42.68,75.61,48.47,78.31,59.25,0.497293936202191,0.720997016613877,NA,0.396624947621362,0.521632172338948,0.300691827468613,0.315922440896053,0.590917270317517,0.428889882396612,0.452185799824543,0.361171208816903
"ALSTOM SA","Large","France","Industrials","Construction Machinery & Heavy Transportation Equipment","polluter","DIVIDEND PAYOUT PER SHARE",29.45,39.49,32.13,31.57,0,0,0,18.97,16.29,0,0,0.407817004425121,0.595844892418703,0.50281208199199,0.516944253083667,0,0,0,0.134659752208207,0.109920485063609,0,0
"AP MOELLER MAERSK","Huge","Denmark","Industrials","Marine Transportation","polluter","DIVIDEND PAYOUT PER SHARE",16.5,28.82,24.18,31.55,NA,NA,NA,NA,15.53,NA,34.99,3.37841110740687,6.13337841991253,5.33429670173549,6.92324514089773,NA,NA,NA,NA,2.76728604919707,NA,5.72599398594485
"ARCELORMITTAL SA","Huge","Luxembourg","Basic Materials","Steel","polluter","DIVIDEND PAYOUT PER SHARE",34.53,66.1,NA,NA,NA,0,0,2.14,4.14,0,NA,1.77623865821313,3.14541441822846,NA,NA,NA,0,0,0.0699453912237734,0.145412346894164,0,NA
"BASF SE","Huge","Germany","Basic Materials","Diversified Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",44.35,37.09,48.96,51.22,49.89,66.81,67.93,49.96,68.66,35.99,NA,1.44441445108635,1.19693358443347,1.64167992973475,1.77804907129682,1.82907301011603,2.37140217923242,2.45079201681417,1.91811183640853,2.80732917854823,1.40262861778281,NA
"CAPGEMINI SE","Medium","France","Technology","IT Consulting & Other Services","non-polluter","DIVIDEND PAYOUT PER SHARE",54.64,38.02,42.11,39.36,32.66,20.23,28.52,34.84,38.91,26.21,34.15,0.274765715210495,0.202258024948922,0.213707300426337,0.197288589945774,0.179938364984463,0.154115489396372,0.20842420514619,0.257505274594172,0.290362376887129,0.208224792747641,0.344282828862876
"CARGOTEC CORP","Small","Finland","Industrials","Industrial Machinery & Supplies & Components","polluter","DIVIDEND PAYOUT PER SHARE",50.41,41.32,49.66,47.15,49.55,36.2,48.71,49.75,66.36,86.39,NA,0.0785422433973015,0.0659461888599857,0.0832483860632486,0.0825430629517471,0.0912506259370291,0.0630348785102595,0.084356469525658,0.0849143385716657,0.114267790962467,0.164059200688116,NA
"CORBION NV","Small","Netherlands","Basic Materials","Speciality Chemicals","polluter","DIVIDEND PAYOUT PER SHARE",62.5,NA,NA,NA,NA,65.82,57.54,38.46,60.54,NA,45.12,0.0889204113969061,NA,NA,NA,NA,0.0268021356055607,0.0229415969105944,0.0155673153501448,0.027723716762406,NA,0.0230225639915962
"CRH PLC","Large","Ireland","Basic Materials","Construction Materials","polluter","DIVIDEND PAYOUT PER SHARE",NA,75.67,81.7,NA,79.21,70.12,43.29,39.05,23.81,34.5,76.87,NA,0.849764807822431,0.906591040263883,NA,0.917226977344022,1.14839666940587,0.663611578695691,0.616871240847672,0.40578547905146,0.59568918609239,1.35634352382946
